1268,"	12"
1269,"	17"
1270,"	15"
1271,"	9"
1272,"	9"
1273,"	11"
1274,"	10"
1275,"	12"
1276,"	11"
1277,"	12"
1278,"	9"
1279,"	16"
1280,"	9"
1281,"	9"
1282,"	13"
1283,"	11"
1284,"	12"
1285,"	5"
1286,"	8"
1287,"	15"
1288,"	15"
1289,"	14"
1290,"	14"
1291,"	19"
1292,"	15"
1293,"	13"
1294,"	19"
1295,"	11"
1296,"	13"
1297,"	22"
1298,"	19"
1299,"	12"
1300,"	12"
1301,"	18"
1302,"	27"
1303,"	13"
1304,"	27"
1305,"	16"
1306,"	28"
1307,"	21"
1308,"	25"
1309,"	25"
1310,"	29"
1311,"	29"
1312,"	35"
1313,"	22"
1314,"	29"
1315,"	31"
1316,"	33"
1317,"	29"
1318,"	30"
1319,"	20"
1320,"	38"
1321,"	34"
1322,"	46"
1323,"	26"
1324,"	36"
1325,"	33"
1326,"	27"
1327,"	44"
1328,"	38"
1329,"	39"
1330,"	65"
1331,"	47"
1332,"	39"
1333,"	36"
1334,"	45"
1335,"	57"
1336,"	46"
1337,"	53"
1338,"	54"
1339,"	62"
1340,"	63"
1341,"	55"
1342,"	60"
1343,"	54"
1344,"	56"
1345,"	57"
1346,"	63"
1347,"	55"
1348,"	58"
1349,"	53"
1350,"	50"
1351,"	58"
1352,"	69"
1353,"	50"
1354,"	81"
1355,"	60"
1356,"	72"
1357,"	58"
1358,"	62"
1359,"	63"
1360,"	64"
1361,"	66"
1362,"	54"
1363,"	62"
1364,"	61"
1365,"	59"
1366,"	63"
1367,"	70"
1368,"	66"
1369,"	48"
1370,"	60"
1371,"	44"
1372,"	57"
1373,"	50"
1374,"	44"
1375,"	62"
1376,"	48"
1377,"	46"
1378,"	49"
1379,"	51"
1380,"	42"
1381,"	35"
1382,"	37"
1383,"	38"
1384,"	46"
1385,"	36"
1386,"	45"
1387,"	25"
1388,"	27"
1389,"	48"
1390,"	36"
1391,"	30"
1392,"	31"
1393,"	29"
1394,"	26"
1395,"	30"
1396,"	22"
1397,"	32"
1398,"	31"
1399,"	24"
1400,"	22"
1401,"	16"
1402,"	21"
1403,"	20"
1404,"	16"
1405,"	12"
1406,"	13"
1407,"	12"
1408,"	15"
1409,"	15"
1410,"	13"
1411,"	15"
1412,"	10"
1413,"	7"
1414,"	14"
1415,"	9"
1416,"	15"
1417,"	12"
1418,"	8"
1419,"	6"
1420,"	12"
1421,"	8"
1422,"	7"
1423,"	7"
1424,"	10"
1425,"	7"
1426,"	6"
1427,"	9"
1428,"	5"
1429,"	7"
1430,"	5"
1431,"	3"
1432,"	3"
1433,"	4"
1434,"	3"
1435,"	2"
1436,"	4"
1437,"	4"
1438,"	7"
1439,"	4"
1440,"	4"
1441,"	6"
1442,"	6"
1443,"	5"
1444,"	7"
1445,"	4"
1446,"	6"
1447,"	3"
1448,"	5"
1449,"	3"
1450,"	5"
