Start Time, Thu Jan 1 00:00:00 GMT+0000 2009,,
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s),172800,,
Real Time (s),172808.1813,,
Elapsed Computational,0,,
Spectrum,,,
Channel, Energy (keV), Counts,
1649,1649,40,
1650,1650,42,
1651,1651,55,
1652,1652,40,
1653,1653,37,
1654,1654,36,
1655,1655,47,
1656,1656,39,
1657,1657,35,
1658,1658,42,
1659,1659,35,
1660,1660,41,
1661,1661,29,
1662,1662,47,
1663,1663,37,
1664,1664,46,
1665,1665,45,
1666,1666,42,
1667,1667,44,
1668,1668,29,
1669,1669,37,
1670,1670,47,
1671,1671,41,
1672,1672,35,
1673,1673,49,
1674,1674,34,
1675,1675,33,
1676,1676,35,
1677,1677,44,
1678,1678,34,
1679,1679,37,
1680,1680,42,
1681,1681,31,
1682,1682,43,
1683,1683,42,
1684,1684,44,
1685,1685,36,
1686,1686,40,
1687,1687,38,
1688,1688,37,
1689,1689,28,
1690,1690,50,
1691,1691,37,
1692,1692,50,
1693,1693,38,
1694,1694,42,
1695,1695,44,
1696,1696,40,
1697,1697,31,
1698,1698,33,
1699,1699,37,
1700,1700,29,
1701,1701,32,
1702,1702,38,
1703,1703,38,
1704,1704,33,
1705,1705,31,
1706,1706,31,
1707,1707,39,
1708,1708,35,
1709,1709,37,
1710,1710,30,
1711,1711,41,
1712,1712,36,
1713,1713,38,
1714,1714,29,
1715,1715,38,
1716,1716,36,
1717,1717,26,
1718,1718,35,
1719,1719,35,
1720,1720,28,
1721,1721,36,
1722,1722,35,
1723,1723,33,
1724,1724,54,
1725,1725,33,
1726,1726,40,
1727,1727,31,
1728,1728,46,
1729,1729,36,
1730,1730,32,
1731,1731,40,
1732,1732,33,
1733,1733,46,
1734,1734,49,
1735,1735,34,
1736,1736,35,
1737,1737,42,
1738,1738,37,
1739,1739,35,
1740,1740,42,
1741,1741,48,
1742,1742,55,
1743,1743,48,
1744,1744,44,
1745,1745,37,
1746,1746,41,
1747,1747,31,
1748,1748,41,
1749,1749,44,
1750,1750,36,
1751,1751,38,
1752,1752,37,
1753,1753,50,
1754,1754,44,
1755,1755,36,
1756,1756,31,
1757,1757,51,
1758,1758,32,
1759,1759,54,
1760,1760,36,
1761,1761,29,
1762,1762,38,
1763,1763,39,
1764,1764,31,
1765,1765,47,
1766,1766,34,
1767,1767,34,
1768,1768,47,
1769,1769,40,
1770,1770,39,
1771,1771,38,
1772,1772,39,
1773,1773,43,
1774,1774,45,
1775,1775,40,
1776,1776,35,
1777,1777,39,
1778,1778,44,
1779,1779,37,
1780,1780,52,
1781,1781,40,
1782,1782,34,
1783,1783,45,
1784,1784,47,
1785,1785,33,
1786,1786,49,
1787,1787,39,
1788,1788,37,
1789,1789,39,
1790,1790,46,
1791,1791,43,
1792,1792,39,
1793,1793,48,
1794,1794,33,
1795,1795,44,
1796,1796,50,
1797,1797,38,
1798,1798,44,
1799,1799,67,
1800,1800,54,
1801,1801,37,
1802,1802,42,
1803,1803,47,
1804,1804,54,
1805,1805,48,
1806,1806,40,
1807,1807,37,
1808,1808,45,
1809,1809,40,
1810,1810,45,
1811,1811,48,
1812,1812,50,
1813,1813,44,
1814,1814,41,
1815,1815,38,
1816,1816,40,
1817,1817,35,
1818,1818,49,
1819,1819,40,
1820,1820,47,
1821,1821,53,
1822,1822,46,
1823,1823,55,
1824,1824,55,
1825,1825,42,
1826,1826,40,
1827,1827,38,
1828,1828,42,
1829,1829,39,
1830,1830,33,
1831,1831,45,
1832,1832,40,
1833,1833,44,
1834,1834,42,
1835,1835,49,
1836,1836,42,
1837,1837,41,
1838,1838,34,
1839,1839,42,
1840,1840,43,
1841,1841,42,
1842,1842,28,
1843,1843,40,
1844,1844,31,
1845,1845,39,
1846,1846,43,
1847,1847,38,
1848,1848,28,
1849,1849,48,
1850,1850,41,
1851,1851,27,
1852,1852,28,
1853,1853,28,
1854,1854,40,
1855,1855,26,
1856,1856,36,
1857,1857,32,
1858,1858,43,
1859,1859,34,
1860,1860,33,
1861,1861,30,
1862,1862,23,
1863,1863,29,
1864,1864,34,
1865,1865,37,
1866,1866,32,
1867,1867,30,
1868,1868,31,
1869,1869,24,
1870,1870,29,
1871,1871,32,
1872,1872,34,
1873,1873,31,
1874,1874,42,
1875,1875,24,
1876,1876,21,
1877,1877,22,
1878,1878,38,
1879,1879,33,
1880,1880,23,
1881,1881,36,
1882,1882,34,
1883,1883,33,
1884,1884,31,
1885,1885,29,
1886,1886,34,
1887,1887,25,
1888,1888,29,
1889,1889,36,
1890,1890,26,
1891,1891,26,
1892,1892,35,
1893,1893,28,
1894,1894,26,
1895,1895,32,
1896,1896,33,
1897,1897,34,
1898,1898,48,
1899,1899,33,
1900,1900,37,
1901,1901,30,
1902,1902,31,
1903,1903,30,
1904,1904,34,
1905,1905,17,
1906,1906,30,
1907,1907,35,
1908,1908,18,
1909,1909,28,
1910,1910,36,
1911,1911,34,
1912,1912,28,
1913,1913,26,
1914,1914,25,
1915,1915,29,
1916,1916,34,
1917,1917,31,
1918,1918,28,
1919,1919,35,
1920,1920,21,
1921,1921,23,
1922,1922,36,
1923,1923,23,
1924,1924,24,
1925,1925,28,
1926,1926,28,
1927,1927,35,
1928,1928,22,
1929,1929,26,
1930,1930,16,
1931,1931,30,
1932,1932,25,
1933,1933,31,
1934,1934,32,
1935,1935,24,
1936,1936,27,
1937,1937,26,
1938,1938,25,
1939,1939,27,
1940,1940,23,
1941,1941,30,
1942,1942,24,
1943,1943,36,
1944,1944,23,
1945,1945,28,
1946,1946,37,
1947,1947,31,
1948,1948,39,
1949,1949,20,
1950,1950,27,
1951,1951,20,
1952,1952,25,
1953,1953,21,
1954,1954,30,
1955,1955,20,
1956,1956,27,
1957,1957,31,
1958,1958,30,
1959,1959,24,
1960,1960,32,
1961,1961,23,
1962,1962,33,
1963,1963,30,
1964,1964,22,
1965,1965,29,
1966,1966,18,
1967,1967,22,
1968,1968,14,
1969,1969,28,
1970,1970,31,
1971,1971,29,
1972,1972,20,
1973,1973,35,
1974,1974,27,
1975,1975,23,
1976,1976,27,
1977,1977,21,
1978,1978,29,
1979,1979,28,
1980,1980,26,
1981,1981,23,
1982,1982,36,
1983,1983,29,
1984,1984,22,
1985,1985,22,
1986,1986,19,
1987,1987,19,
1988,1988,26,
1989,1989,19,
1990,1990,17,
1991,1991,30,
1992,1992,20,
1993,1993,20,
1994,1994,19,
1995,1995,19,
1996,1996,29,
1997,1997,28,
1998,1998,29,
1999,1999,22,
2000,2000,43,
2001,2001,24,
2002,2002,30,
2003,2003,21,
2004,2004,29,
2005,2005,22,
2006,2006,18,
2007,2007,26,
2008,2008,20,
2009,2009,22,
2010,2010,26,
2011,2011,17,
2012,2012,23,
2013,2013,32,
2014,2014,20,
2015,2015,26,
2016,2016,28,
2017,2017,23,
2018,2018,30,
2019,2019,27,
2020,2020,36,
2021,2021,28,
2022,2022,19,
2023,2023,31,
2024,2024,21,
2025,2025,21,
2026,2026,27,
2027,2027,25,
2028,2028,26,
2029,2029,26,
2030,2030,21,
2031,2031,16,
2032,2032,20,
2033,2033,30,
2034,2034,22,
2035,2035,22,
2036,2036,21,
2037,2037,30,
2038,2038,21,
2039,2039,23,
2040,2040,20,
2041,2041,32,
2042,2042,23,
2043,2043,29,
2044,2044,15,
2045,2045,29,
2046,2046,32,
2047,2047,21,
2048,2048,27,
