Start Time, Mon Oct 15 13:50:03 GMT+0100 2018
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 7200
Real Time (s), 7201.12586
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 1, 0
2, 2, 0
3, 3, 0
4, 4, 4
5, 5, 611
6, 6, 682
7, 7, 129
8, 8, 138
9, 9, 94
10, 10, 141
11, 11, 111
12, 12, 118
13, 13, 119
14, 14, 117
15, 15, 134
16, 16, 103
17, 17, 117
18, 18, 107
19, 19, 124
20, 20, 133
21, 21, 114
22, 22, 132
23, 23, 129
24, 24, 133
25, 25, 128
26, 26, 111
27, 27, 131
28, 28, 145
29, 29, 124
30, 30, 105
31, 31, 112
32, 32, 122
33, 33, 129
34, 34, 134
35, 35, 128
36, 36, 144
37, 37, 128
38, 38, 115
39, 39, 132
40, 40, 110
41, 41, 130
42, 42, 153
43, 43, 132
44, 44, 134
45, 45, 146
46, 46, 134
47, 47, 139
48, 48, 154
49, 49, 131
50, 50, 153
51, 51, 159
52, 52, 179
53, 53, 201
54, 54, 228
55, 55, 198
56, 56, 211
57, 57, 224
58, 58, 154
59, 59, 227
60, 60, 221
61, 61, 181
62, 62, 180
63, 63, 189
64, 64, 182
65, 65, 185
66, 66, 178
67, 67, 151
68, 68, 181
69, 69, 156
70, 70, 172
71, 71, 174
72, 72, 188
73, 73, 163
74, 74, 188
75, 75, 176
76, 76, 187
77, 77, 201
78, 78, 209
79, 79, 216
80, 80, 225
81, 81, 302
82, 82, 311
83, 83, 316
84, 84, 403
85, 85, 455
86, 86, 508
87, 87, 534
88, 88, 593
89, 89, 573
90, 90, 555
91, 91, 567
92, 92, 516
93, 93, 478
94, 94, 453
95, 95, 437
96, 96, 376
97, 97, 349
98, 98, 339
99, 99, 344
100, 100, 320
101, 101, 359
102, 102, 322
103, 103, 309
104, 104, 295
105, 105, 278
106, 106, 254
107, 107, 266
108, 108, 235
109, 109, 194
110, 110, 220
111, 111, 203
112, 112, 181
113, 113, 196
114, 114, 173
115, 115, 191
116, 116, 188
117, 117, 159
118, 118, 166
119, 119, 193
120, 120, 185
121, 121, 205
122, 122, 179
123, 123, 209
124, 124, 196
125, 125, 178
126, 126, 181
127, 127, 179
128, 128, 207
129, 129, 212
130, 130, 160
131, 131, 185
132, 132, 195
133, 133, 166
134, 134, 193
135, 135, 187
136, 136, 203
137, 137, 189
138, 138, 207
139, 139, 190
140, 140, 168
141, 141, 184
142, 142, 216
143, 143, 188
144, 144, 187
145, 145, 175
146, 146, 195
147, 147, 209
148, 148, 184
149, 149, 178
150, 150, 199
151, 151, 199
152, 152, 181
153, 153, 175
154, 154, 198
155, 155, 162
156, 156, 184
157, 157, 169
158, 158, 178
159, 159, 161
160, 160, 194
161, 161, 180
162, 162, 179
163, 163, 193
164, 164, 199
165, 165, 203
166, 166, 194
167, 167, 180
168, 168, 200
169, 169, 175
170, 170, 189
171, 171, 177
172, 172, 198
173, 173, 185
174, 174, 192
175, 175, 202
176, 176, 187
177, 177, 174
178, 178, 202
179, 179, 159
180, 180, 182
181, 181, 184
182, 182, 161
183, 183, 181
184, 184, 191
185, 185, 177
186, 186, 172
187, 187, 177
188, 188, 165
189, 189, 182
190, 190, 155
191, 191, 168
192, 192, 189
193, 193, 182
194, 194, 184
195, 195, 196
196, 196, 186
197, 197, 168
198, 198, 167
199, 199, 195
200, 200, 172
201, 201, 177
202, 202, 167
203, 203, 160
204, 204, 172
205, 205, 168
206, 206, 183
207, 207, 161
208, 208, 151
209, 209, 169
210, 210, 177
211, 211, 188
212, 212, 183
213, 213, 194
214, 214, 198
215, 215, 173
216, 216, 181
217, 217, 195
218, 218, 156
219, 219, 187
220, 220, 192
221, 221, 178
222, 222, 168
223, 223, 172
224, 224, 221
225, 225, 180
226, 226, 185
227, 227, 178
228, 228, 197
229, 229, 175
230, 230, 181
231, 231, 191
232, 232, 205
233, 233, 158
234, 234, 204
235, 235, 181
236, 236, 182
237, 237, 178
238, 238, 184
239, 239, 191
240, 240, 179
241, 241, 155
242, 242, 176
243, 243, 193
244, 244, 179
245, 245, 177
246, 246, 178
247, 247, 194
248, 248, 180
249, 249, 183
250, 250, 192
251, 251, 183
252, 252, 151
253, 253, 170
254, 254, 184
255, 255, 175
256, 256, 181
257, 257, 168
258, 258, 187
259, 259, 195
260, 260, 176
261, 261, 185
262, 262, 172
263, 263, 153
264, 264, 189
265, 265, 173
266, 266, 185
267, 267, 170
268, 268, 143
269, 269, 187
270, 270, 201
271, 271, 175
272, 272, 179
273, 273, 175
274, 274, 183
275, 275, 146
276, 276, 168
277, 277, 157
278, 278, 177
279, 279, 173
280, 280, 177
281, 281, 164
282, 282, 147
283, 283, 167
284, 284, 141
285, 285, 175
286, 286, 162
287, 287, 160
288, 288, 174
289, 289, 169
290, 290, 145
291, 291, 163
292, 292, 169
293, 293, 151
294, 294, 154
295, 295, 166
296, 296, 159
297, 297, 174
298, 298, 152
299, 299, 154
300, 300, 181
301, 301, 155
302, 302, 149
303, 303, 178
304, 304, 167
305, 305, 139
306, 306, 138
307, 307, 170
308, 308, 167
309, 309, 154
310, 310, 169
311, 311, 161
312, 312, 191
313, 313, 163
314, 314, 137
315, 315, 145
316, 316, 164
317, 317, 157
318, 318, 149
319, 319, 176
320, 320, 142
321, 321, 167
322, 322, 151
323, 323, 168
324, 324, 169
325, 325, 130
326, 326, 137
327, 327, 144
328, 328, 166
329, 329, 165
330, 330, 155
331, 331, 134
332, 332, 170
333, 333, 135
334, 334, 144
335, 335, 154
336, 336, 122
337, 337, 159
338, 338, 146
339, 339, 145
340, 340, 133
341, 341, 154
342, 342, 181
343, 343, 153
344, 344, 150
345, 345, 165
346, 346, 143
347, 347, 147
348, 348, 159
349, 349, 156
350, 350, 156
351, 351, 150
352, 352, 146
353, 353, 146
354, 354, 146
355, 355, 160
356, 356, 124
357, 357, 126
358, 358, 157
359, 359, 117
360, 360, 159
361, 361, 173
362, 362, 145
363, 363, 154
364, 364, 148
365, 365, 171
366, 366, 147
367, 367, 139
368, 368, 158
369, 369, 158
370, 370, 132
371, 371, 157
372, 372, 139
373, 373, 156
374, 374, 163
375, 375, 136
376, 376, 126
377, 377, 161
378, 378, 135
379, 379, 133
380, 380, 133
381, 381, 159
382, 382, 144
383, 383, 119
384, 384, 136
385, 385, 147
386, 386, 145
387, 387, 137
388, 388, 126
389, 389, 137
390, 390, 127
391, 391, 160
392, 392, 134
393, 393, 127
394, 394, 132
395, 395, 138
396, 396, 150
397, 397, 134
398, 398, 134
399, 399, 128
400, 400, 138
401, 401, 139
402, 402, 144
403, 403, 127
404, 404, 127
405, 405, 131
406, 406, 141
407, 407, 124
408, 408, 129
409, 409, 124
410, 410, 124
411, 411, 139
412, 412, 121
413, 413, 136
414, 414, 149
415, 415, 139
416, 416, 124
417, 417, 164
418, 418, 133
419, 419, 127
420, 420, 126
421, 421, 141
422, 422, 144
423, 423, 131
