Start Time, Thu Jan 1 00:00:00 GMT+0000 2009
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 7200
Real Time (s), 7200.808772
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
386, 386, 79
387, 387, 83
388, 388, 81
389, 389, 78
390, 390, 86
391, 391, 74
392, 392, 98
393, 393, 94
394, 394, 69
395, 395, 93
396, 396, 94
397, 397, 75
398, 398, 85
399, 399, 85
400, 400, 83
401, 401, 85
402, 402, 82
403, 403, 77
404, 404, 80
405, 405, 80
406, 406, 90
407, 407, 72
408, 408, 69
409, 409, 67
410, 410, 69
411, 411, 99
412, 412, 75
413, 413, 65
414, 414, 70
415, 415, 84
416, 416, 62
417, 417, 72
418, 418, 57
419, 419, 78
420, 420, 83
421, 421, 57
422, 422, 71
423, 423, 69
424, 424, 75
425, 425, 88
426, 426, 75
427, 427, 75
428, 428, 76
429, 429, 74
430, 430, 63
431, 431, 72
432, 432, 67
433, 433, 75
434, 434, 53
435, 435, 59
436, 436, 77
437, 437, 59
438, 438, 79
439, 439, 73
440, 440, 74
441, 441, 73
442, 442, 44
443, 443, 64
444, 444, 60
445, 445, 80
446, 446, 72
447, 447, 94
448, 448, 79
449, 449, 82
450, 450, 62
451, 451, 55
452, 452, 75
453, 453, 62
454, 454, 60
455, 455, 75
456, 456, 69
457, 457, 56
458, 458, 64
459, 459, 66
460, 460, 72
461, 461, 68
462, 462, 66
463, 463, 69
464, 464, 58
465, 465, 52
466, 466, 53
467, 467, 64
468, 468, 61
469, 469, 63
470, 470, 62
471, 471, 72
472, 472, 74
473, 473, 68
474, 474, 65
475, 475, 44
476, 476, 48
477, 477, 48
478, 478, 57
479, 479, 65
480, 480, 47
481, 481, 64
482, 482, 53
483, 483, 71
484, 484, 73
485, 485, 54
486, 486, 58
487, 487, 64
488, 488, 68
489, 489, 71
490, 490, 65
491, 491, 64
492, 492, 55
493, 493, 67
494, 494, 67
495, 495, 73
496, 496, 64
497, 497, 77
498, 498, 84
499, 499, 70
500, 500, 72
501, 501, 82
502, 502, 96
503, 503, 81
504, 504, 88
505, 505, 91
506, 506, 100
507, 507, 139
508, 508, 100
509, 509, 142
510, 510, 131
511, 511, 148
512, 512, 147
513, 513, 158
514, 514, 154
515, 515, 193
516, 516, 227
517, 517, 189
518, 518, 231
519, 519, 220
520, 520, 256
521, 521, 253
522, 522, 255
523, 523, 262
524, 524, 289
525, 525, 330
526, 526, 352
527, 527, 381
528, 528, 375
529, 529, 363
530, 530, 404
531, 531, 408
532, 532, 409
533, 533, 414
534, 534, 443
535, 535, 434
536, 536, 470
537, 537, 467
538, 538, 515
539, 539, 491
540, 540, 492
541, 541, 519
542, 542, 492
543, 543, 485
544, 544, 557
545, 545, 540
546, 546, 508
547, 547, 516
548, 548, 495
549, 549, 478
550, 550, 505
551, 551, 493
552, 552, 452
553, 553, 471
554, 554, 424
555, 555, 451
556, 556, 423
557, 557, 412
558, 558, 411
559, 559, 405
560, 560, 373
561, 561, 338
562, 562, 343
563, 563, 332
564, 564, 298
565, 565, 304
566, 566, 264
567, 567, 222
568, 568, 256
569, 569, 206
570, 570, 187
571, 571, 196
572, 572, 161
573, 573, 133
574, 574, 137
