Start Time, Thu Jan 1 00:00:00 GMT+0000 2009
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 7200
Real Time (s), 7201.608259
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
386, 386, 216
387, 387, 226
388, 388, 176
389, 389, 208
390, 390, 223
391, 391, 224
392, 392, 185
393, 393, 217
394, 394, 203
395, 395, 201
396, 396, 183
397, 397, 199
398, 398, 197
399, 399, 206
400, 400, 193
401, 401, 194
402, 402, 204
403, 403, 206
404, 404, 224
405, 405, 197
406, 406, 217
407, 407, 205
408, 408, 197
409, 409, 206
410, 410, 185
411, 411, 191
412, 412, 202
413, 413, 209
414, 414, 183
415, 415, 197
416, 416, 181
417, 417, 208
418, 418, 195
419, 419, 183
420, 420, 208
421, 421, 179
422, 422, 192
423, 423, 188
424, 424, 194
425, 425, 223
426, 426, 212
427, 427, 191
428, 428, 202
429, 429, 200
430, 430, 194
431, 431, 201
432, 432, 207
433, 433, 193
434, 434, 211
435, 435, 197
436, 436, 185
437, 437, 185
438, 438, 191
439, 439, 202
440, 440, 202
441, 441, 198
442, 442, 182
443, 443, 193
444, 444, 189
445, 445, 195
446, 446, 193
447, 447, 182
448, 448, 192
449, 449, 199
450, 450, 164
451, 451, 200
452, 452, 187
453, 453, 190
454, 454, 186
455, 455, 202
456, 456, 186
457, 457, 197
458, 458, 223
459, 459, 204
460, 460, 193
461, 461, 158
462, 462, 176
463, 463, 188
464, 464, 189
465, 465, 187
466, 466, 189
467, 467, 183
468, 468, 182
469, 469, 202
470, 470, 177
471, 471, 176
472, 472, 202
473, 473, 168
474, 474, 187
475, 475, 169
476, 476, 188
477, 477, 189
478, 478, 152
479, 479, 183
480, 480, 186
481, 481, 193
482, 482, 184
483, 483, 175
484, 484, 180
485, 485, 190
486, 486, 186
487, 487, 176
488, 488, 195
489, 489, 171
490, 490, 183
491, 491, 175
492, 492, 172
493, 493, 196
494, 494, 159
495, 495, 176
496, 496, 203
497, 497, 174
498, 498, 170
499, 499, 165
500, 500, 162
501, 501, 146
502, 502, 160
503, 503, 175
504, 504, 193
505, 505, 195
506, 506, 192
507, 507, 200
508, 508, 170
509, 509, 175
510, 510, 169
511, 511, 178
512, 512, 179
513, 513, 184
514, 514, 183
515, 515, 208
516, 516, 171
517, 517, 198
518, 518, 193
519, 519, 173
520, 520, 190
521, 521, 159
522, 522, 189
523, 523, 190
524, 524, 191
525, 525, 173
526, 526, 180
527, 527, 159
528, 528, 206
529, 529, 180
530, 530, 186
531, 531, 188
532, 532, 192
533, 533, 195
534, 534, 182
535, 535, 211
536, 536, 173
537, 537, 198
538, 538, 189
539, 539, 219
540, 540, 167
541, 541, 179
542, 542, 190
543, 543, 166
544, 544, 168
