Start Time, Mon Oct 15 15:51:38 GMT+0100 2018
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 7200
Real Time (s), 7200.749849
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
386, 386, 83
387, 387, 78
388, 388, 112
389, 389, 90
390, 390, 68
391, 391, 88
392, 392, 85
393, 393, 100
394, 394, 101
395, 395, 59
396, 396, 86
397, 397, 94
398, 398, 77
399, 399, 94
400, 400, 75
401, 401, 87
402, 402, 86
403, 403, 67
404, 404, 92
405, 405, 75
406, 406, 92
407, 407, 79
408, 408, 90
409, 409, 88
410, 410, 68
411, 411, 80
412, 412, 78
413, 413, 68
414, 414, 72
415, 415, 75
416, 416, 72
417, 417, 87
418, 418, 80
419, 419, 98
420, 420, 83
421, 421, 72
422, 422, 90
423, 423, 65
424, 424, 80
425, 425, 87
426, 426, 76
427, 427, 72
428, 428, 84
429, 429, 66
430, 430, 72
431, 431, 69
432, 432, 71
433, 433, 75
434, 434, 65
435, 435, 65
436, 436, 94
437, 437, 73
438, 438, 77
439, 439, 76
440, 440, 85
441, 441, 62
442, 442, 91
443, 443, 91
444, 444, 75
445, 445, 81
446, 446, 72
447, 447, 59
448, 448, 91
449, 449, 80
450, 450, 82
451, 451, 73
452, 452, 70
453, 453, 77
454, 454, 74
455, 455, 90
456, 456, 70
457, 457, 100
458, 458, 77
459, 459, 70
460, 460, 68
461, 461, 70
462, 462, 74
463, 463, 70
464, 464, 70
465, 465, 65
466, 466, 69
467, 467, 84
468, 468, 73
469, 469, 78
470, 470, 78
471, 471, 78
472, 472, 75
473, 473, 91
474, 474, 88
475, 475, 86
476, 476, 79
477, 477, 77
478, 478, 75
479, 479, 68
480, 480, 72
481, 481, 80
482, 482, 78
483, 483, 72
484, 484, 73
485, 485, 74
486, 486, 64
487, 487, 76
488, 488, 72
489, 489, 74
490, 490, 77
491, 491, 87
492, 492, 72
493, 493, 71
494, 494, 70
495, 495, 74
496, 496, 63
497, 497, 71
498, 498, 65
499, 499, 73
500, 500, 63
501, 501, 88
502, 502, 60
503, 503, 74
504, 504, 64
505, 505, 80
506, 506, 74
507, 507, 83
508, 508, 87
509, 509, 89
510, 510, 90
511, 511, 74
512, 512, 77
513, 513, 80
514, 514, 73
515, 515, 67
516, 516, 70
517, 517, 87
518, 518, 63
519, 519, 80
520, 520, 74
521, 521, 85
522, 522, 74
523, 523, 82
524, 524, 66
525, 525, 83
526, 526, 73
527, 527, 90
528, 528, 69
529, 529, 83
530, 530, 61
531, 531, 79
532, 532, 94
533, 533, 89
534, 534, 67
535, 535, 91
536, 536, 86
537, 537, 76
538, 538, 97
539, 539, 80
540, 540, 82
541, 541, 82
542, 542, 85
543, 543, 78
544, 544, 82
545, 545, 75
546, 546, 74
547, 547, 77
548, 548, 87
549, 549, 72
550, 550, 75
551, 551, 83
552, 552, 108
553, 553, 99
554, 554, 82
555, 555, 75
556, 556, 82
557, 557, 70
558, 558, 82
559, 559, 62
560, 560, 62
561, 561, 71
562, 562, 65
563, 563, 69
564, 564, 82
565, 565, 75
566, 566, 86
567, 567, 75
568, 568, 66
569, 569, 75
570, 570, 87
571, 571, 75
572, 572, 65
573, 573, 84
574, 574, 64
575, 575, 74
576, 576, 63
577, 577, 73
578, 578, 80
579, 579, 61
580, 580, 79
581, 581, 73
582, 582, 62
583, 583, 69
584, 584, 75
585, 585, 62
586, 586, 72
587, 587, 64
588, 588, 68
589, 589, 86
590, 590, 68
591, 591, 60
592, 592, 75
593, 593, 85
594, 594, 69
595, 595, 61
596, 596, 67
597, 597, 61
598, 598, 72
599, 599, 61
600, 600, 70
601, 601, 80
602, 602, 66
603, 603, 66
604, 604, 84
605, 605, 71
606, 606, 72
607, 607, 73
608, 608, 53
609, 609, 72
610, 610, 64
611, 611, 62
612, 612, 64
613, 613, 69
614, 614, 75
615, 615, 81
616, 616, 78
617, 617, 79
618, 618, 62
619, 619, 74
620, 620, 55
621, 621, 70
622, 622, 86
623, 623, 76
624, 624, 65
625, 625, 66
626, 626, 69
627, 627, 87
628, 628, 82
629, 629, 64
630, 630, 65
631, 631, 82
632, 632, 72
633, 633, 80
634, 634, 70
635, 635, 70
636, 636, 83
637, 637, 43
638, 638, 62
639, 639, 73
