Start Time, Mon Oct 15 11:45:46 GMT+0100 2018
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 7200
Real Time (s), 7201.349657
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 1, 0
2, 2, 0
3, 3, 0
4, 4, 0
5, 5, 455
6, 6, 651
7, 7, 164
8, 8, 175
9, 9, 153
10, 10, 152
11, 11, 140
12, 12, 146
13, 13, 132
14, 14, 135
15, 15, 142
16, 16, 159
17, 17, 154
18, 18, 150
19, 19, 121
20, 20, 169
21, 21, 144
22, 22, 154
23, 23, 138
24, 24, 161
25, 25, 165
26, 26, 147
27, 27, 155
28, 28, 129
29, 29, 145
30, 30, 128
31, 31, 174
32, 32, 155
33, 33, 161
34, 34, 135
35, 35, 155
36, 36, 177
37, 37, 128
38, 38, 165
39, 39, 143
40, 40, 165
41, 41, 161
42, 42, 146
43, 43, 158
44, 44, 166
45, 45, 169
46, 46, 157
47, 47, 170
48, 48, 188
49, 49, 164
50, 50, 195
51, 51, 194
52, 52, 222
53, 53, 225
54, 54, 219
55, 55, 254
56, 56, 226
57, 57, 216
58, 58, 226
59, 59, 230
60, 60, 227
61, 61, 208
62, 62, 193
63, 63, 196
64, 64, 214
65, 65, 198
66, 66, 182
67, 67, 171
68, 68, 186
69, 69, 191
70, 70, 196
71, 71, 232
72, 72, 184
73, 73, 221
74, 74, 198
75, 75, 242
76, 76, 241
77, 77, 258
78, 78, 250
79, 79, 266
80, 80, 297
81, 81, 289
82, 82, 340
83, 83, 405
84, 84, 460
85, 85, 520
86, 86, 568
87, 87, 594
88, 88, 621
89, 89, 697
90, 90, 662
91, 91, 652
92, 92, 621
93, 93, 609
94, 94, 531
95, 95, 503
96, 96, 485
97, 97, 436
98, 98, 396
99, 99, 392
100, 100, 380
101, 101, 389
102, 102, 409
103, 103, 386
104, 104, 372
105, 105, 336
106, 106, 291
107, 107, 303
108, 108, 278
109, 109, 241
110, 110, 229
111, 111, 213
112, 112, 205
113, 113, 227
114, 114, 212
115, 115, 233
116, 116, 200
117, 117, 216
118, 118, 227
119, 119, 217
120, 120, 226
121, 121, 204
122, 122, 219
123, 123, 208
124, 124, 212
125, 125, 202
126, 126, 239
127, 127, 220
128, 128, 202
129, 129, 203
130, 130, 208
131, 131, 215
132, 132, 214
133, 133, 232
134, 134, 209
135, 135, 241
136, 136, 219
137, 137, 226
138, 138, 219
139, 139, 201
140, 140, 226
141, 141, 221
142, 142, 200
143, 143, 217
144, 144, 205
145, 145, 182
146, 146, 224
147, 147, 199
148, 148, 206
149, 149, 239
150, 150, 241
151, 151, 227
152, 152, 229
153, 153, 208
154, 154, 201
155, 155, 228
156, 156, 232
157, 157, 213
158, 158, 222
159, 159, 219
160, 160, 196
161, 161, 234
162, 162, 208
163, 163, 172
164, 164, 198
165, 165, 210
166, 166, 190
167, 167, 169
168, 168, 201
169, 169, 195
170, 170, 211
171, 171, 217
172, 172, 252
173, 173, 196
174, 174, 196
175, 175, 213
176, 176, 213
177, 177, 206
178, 178, 205
179, 179, 218
180, 180, 205
181, 181, 213
182, 182, 219
183, 183, 202
184, 184, 222
185, 185, 184
186, 186, 217
187, 187, 200
188, 188, 219
189, 189, 189
190, 190, 224
191, 191, 215
192, 192, 221
193, 193, 187
194, 194, 187
195, 195, 195
196, 196, 202
197, 197, 227
198, 198, 213
199, 199, 218
200, 200, 207
201, 201, 216
202, 202, 219
203, 203, 194
204, 204, 223
205, 205, 218
206, 206, 205
207, 207, 211
208, 208, 215
209, 209, 214
210, 210, 197
211, 211, 214
212, 212, 213
213, 213, 238
214, 214, 207
215, 215, 207
216, 216, 215
217, 217, 213
218, 218, 209
219, 219, 205
220, 220, 234
221, 221, 203
222, 222, 217
223, 223, 212
224, 224, 226
225, 225, 208
226, 226, 237
227, 227, 227
228, 228, 239
229, 229, 202
230, 230, 205
231, 231, 225
232, 232, 207
233, 233, 231
234, 234, 234
235, 235, 218
236, 236, 232
237, 237, 183
238, 238, 241
239, 239, 224
240, 240, 212
241, 241, 222
242, 242, 195
243, 243, 193
244, 244, 187
245, 245, 194
246, 246, 241
247, 247, 227
248, 248, 216
249, 249, 225
250, 250, 225
251, 251, 241
252, 252, 239
253, 253, 219
254, 254, 205
255, 255, 219
256, 256, 226
257, 257, 213
258, 258, 191
259, 259, 212
260, 260, 205
261, 261, 213
262, 262, 191
263, 263, 199
264, 264, 193
265, 265, 217
266, 266, 225
267, 267, 215
268, 268, 198
269, 269, 215
270, 270, 207
271, 271, 224
272, 272, 198
273, 273, 193
274, 274, 203
275, 275, 225
276, 276, 178
277, 277, 213
278, 278, 207
279, 279, 190
280, 280, 194
281, 281, 189
282, 282, 190
283, 283, 203
284, 284, 209
285, 285, 182
286, 286, 217
287, 287, 189
288, 288, 216
289, 289, 189
290, 290, 193
291, 291, 212
292, 292, 208
293, 293, 201
294, 294, 206
295, 295, 200
296, 296, 193
297, 297, 216
298, 298, 217
299, 299, 220
300, 300, 202
301, 301, 224
302, 302, 185
303, 303, 201
304, 304, 227
305, 305, 179
306, 306, 177
307, 307, 201
308, 308, 191
309, 309, 194
310, 310, 182
311, 311, 188
312, 312, 218
313, 313, 215
314, 314, 206
315, 315, 199
316, 316, 187
317, 317, 200
318, 318, 173
319, 319, 185
320, 320, 198
321, 321, 195
322, 322, 192
323, 323, 178
324, 324, 209
325, 325, 197
326, 326, 175
327, 327, 179
328, 328, 177
329, 329, 168
330, 330, 164
331, 331, 196
332, 332, 196
333, 333, 175
334, 334, 185
335, 335, 181
336, 336, 188
337, 337, 171
338, 338, 176
339, 339, 171
340, 340, 191
341, 341, 188
342, 342, 170
343, 343, 185
344, 344, 204
345, 345, 155
346, 346, 164
347, 347, 172
348, 348, 174
349, 349, 169
350, 350, 163
351, 351, 173
352, 352, 152
353, 353, 167
354, 354, 167
355, 355, 199
356, 356, 184
357, 357, 195
358, 358, 179
359, 359, 180
360, 360, 168
361, 361, 188
362, 362, 182
363, 363, 168
364, 364, 159
365, 365, 171
366, 366, 173
367, 367, 172
368, 368, 190
369, 369, 188
370, 370, 167
371, 371, 184
372, 372, 147
373, 373, 164
374, 374, 157
375, 375, 183
376, 376, 175
377, 377, 184
378, 378, 169
379, 379, 167
380, 380, 172
381, 381, 186
382, 382, 172
383, 383, 191
384, 384, 164
385, 385, 163
386, 386, 180
387, 387, 171
388, 388, 165
389, 389, 150
390, 390, 167
391, 391, 163
392, 392, 152
393, 393, 168
394, 394, 153
395, 395, 165
396, 396, 179
397, 397, 172
398, 398, 193
399, 399, 162
400, 400, 184
401, 401, 176
402, 402, 174
403, 403, 155
404, 404, 158
405, 405, 172
406, 406, 151
407, 407, 173
408, 408, 165
409, 409, 193
410, 410, 180
411, 411, 163
412, 412, 156
413, 413, 157
414, 414, 171
415, 415, 152
416, 416, 183
417, 417, 181
418, 418, 174
419, 419, 155
420, 420, 161
421, 421, 176
422, 422, 180
423, 423, 175
