Start Time, Tue Oct 9 12:08:49 GMT+0100 2018
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 7200
Real Time (s), 7201.837072
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
386, 386, 237
387, 387, 239
388, 388, 215
389, 389, 244
390, 390, 214
391, 391, 218
392, 392, 208
393, 393, 253
394, 394, 235
395, 395, 239
396, 396, 234
397, 397, 216
398, 398, 236
399, 399, 244
400, 400, 206
401, 401, 235
402, 402, 204
403, 403, 239
404, 404, 236
405, 405, 210
406, 406, 206
407, 407, 206
408, 408, 235
409, 409, 199
410, 410, 221
411, 411, 227
412, 412, 226
413, 413, 208
414, 414, 243
415, 415, 225
416, 416, 227
417, 417, 206
418, 418, 216
419, 419, 196
420, 420, 202
421, 421, 211
422, 422, 218
423, 423, 218
424, 424, 215
425, 425, 189
426, 426, 214
427, 427, 222
428, 428, 236
429, 429, 203
430, 430, 214
431, 431, 210
432, 432, 210
433, 433, 198
434, 434, 206
435, 435, 194
436, 436, 185
437, 437, 205
438, 438, 178
439, 439, 188
440, 440, 205
441, 441, 202
442, 442, 200
443, 443, 205
444, 444, 192
445, 445, 191
446, 446, 213
447, 447, 219
448, 448, 202
449, 449, 190
450, 450, 196
451, 451, 196
452, 452, 186
453, 453, 180
454, 454, 191
455, 455, 192
456, 456, 200
457, 457, 203
458, 458, 201
459, 459, 202
460, 460, 198
461, 461, 193
462, 462, 191
463, 463, 182
464, 464, 189
465, 465, 174
466, 466, 190
467, 467, 224
468, 468, 185
469, 469, 199
470, 470, 198
471, 471, 194
472, 472, 156
473, 473, 186
474, 474, 204
475, 475, 190
476, 476, 173
477, 477, 169
478, 478, 200
479, 479, 192
480, 480, 210
481, 481, 178
482, 482, 177
483, 483, 173
484, 484, 193
485, 485, 171
486, 486, 176
487, 487, 172
488, 488, 164
489, 489, 187
490, 490, 190
491, 491, 195
492, 492, 179
493, 493, 186
494, 494, 187
495, 495, 190
496, 496, 173
497, 497, 172
498, 498, 181
499, 499, 177
500, 500, 182
501, 501, 161
502, 502, 177
503, 503, 158
504, 504, 169
505, 505, 159
506, 506, 179
507, 507, 192
508, 508, 197
509, 509, 184
510, 510, 166
511, 511, 150
512, 512, 183
513, 513, 196
514, 514, 166
515, 515, 177
516, 516, 184
517, 517, 174
518, 518, 186
519, 519, 177
520, 520, 184
521, 521, 176
522, 522, 189
523, 523, 165
524, 524, 185
525, 525, 160
526, 526, 195
527, 527, 181
528, 528, 185
529, 529, 155
530, 530, 200
531, 531, 192
532, 532, 182
533, 533, 188
534, 534, 191
535, 535, 152
536, 536, 182
537, 537, 179
538, 538, 210
539, 539, 215
540, 540, 201
541, 541, 203
542, 542, 185
543, 543, 167
544, 544, 193
545, 545, 182
546, 546, 206
547, 547, 180
548, 548, 189
549, 549, 192
550, 550, 168
551, 551, 166
552, 552, 172
553, 553, 166
554, 554, 189
555, 555, 191
556, 556, 189
557, 557, 177
558, 558, 189
559, 559, 163
560, 560, 149
561, 561, 165
562, 562, 158
563, 563, 183
564, 564, 172
565, 565, 165
566, 566, 167
567, 567, 166
568, 568, 159
569, 569, 164
570, 570, 160
571, 571, 168
572, 572, 160
573, 573, 163
574, 574, 164
575, 575, 155
576, 576, 178
577, 577, 171
578, 578, 165
579, 579, 177
580, 580, 189
581, 581, 158
582, 582, 172
583, 583, 165
584, 584, 185
585, 585, 166
586, 586, 167
587, 587, 165
588, 588, 177
589, 589, 175
590, 590, 184
591, 591, 167
592, 592, 171
593, 593, 160
594, 594, 167
595, 595, 181
596, 596, 165
597, 597, 157
598, 598, 161
599, 599, 184
600, 600, 156
601, 601, 203
602, 602, 142
603, 603, 166
604, 604, 164
605, 605, 143
606, 606, 157
607, 607, 154
608, 608, 157
609, 609, 177
610, 610, 142
611, 611, 154
612, 612, 169
613, 613, 184
614, 614, 153
615, 615, 161
616, 616, 172
617, 617, 182
618, 618, 159
619, 619, 175
620, 620, 175
621, 621, 179
622, 622, 149
623, 623, 170
624, 624, 161
625, 625, 167
626, 626, 170
627, 627, 147
628, 628, 166
629, 629, 179
630, 630, 163
631, 631, 163
632, 632, 187
633, 633, 152
634, 634, 143
635, 635, 152
636, 636, 126
637, 637, 162
638, 638, 172
639, 639, 165
640, 640, 162
641, 641, 133
642, 642, 158
643, 643, 148
644, 644, 191
645, 645, 141
646, 646, 180
647, 647, 133
