Start Time, Thu Oct 4 10:19:11 GMT+0100 2018
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 7200
Real Time (s), 7205.128839
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
365, 365, 1881
366, 366, 2021
367, 367, 2313
368, 368, 2410
369, 369, 2466
370, 370, 2726
371, 371, 2774
372, 372, 2944
373, 373, 3014
374, 374, 3263
375, 375, 3313
376, 376, 3656
377, 377, 3700
378, 378, 3766
379, 379, 3845
380, 380, 3883
381, 381, 4035
382, 382, 4020
383, 383, 4005
384, 384, 4061
385, 385, 4060
386, 386, 4074
387, 387, 4060
388, 388, 3890
389, 389, 3863
390, 390, 3790
391, 391, 3679
392, 392, 3593
393, 393, 3363
394, 394, 3357
395, 395, 3131
396, 396, 2926
397, 397, 2757
398, 398, 2655
399, 399, 2549
400, 400, 2372
401, 401, 2299
402, 402, 2036
403, 403, 1878
404, 404, 1755
405, 405, 1626
406, 406, 1547
407, 407, 1425
408, 408, 1298
409, 409, 1267
410, 410, 1126
411, 411, 1044
412, 412, 966
413, 413, 880
414, 414, 834
415, 415, 716
416, 416, 776
417, 417, 716
418, 418, 672
419, 419, 572
420, 420, 579
421, 421, 501
422, 422, 502
423, 423, 474
424, 424, 456
425, 425, 400
426, 426, 424
427, 427, 368
428, 428, 331
429, 429, 293
430, 430, 293
431, 431, 258
432, 432, 249
433, 433, 207
434, 434, 187
435, 435, 169
436, 436, 149
437, 437, 134
438, 438, 117
439, 439, 111
440, 440, 92
441, 441, 97
442, 442, 83
443, 443, 70
444, 444, 72
445, 445, 62
446, 446, 61
447, 447, 54
448, 448, 40
449, 449, 39
450, 450, 49
451, 451, 32
452, 452, 30
453, 453, 38
454, 454, 41
455, 455, 25
456, 456, 34
457, 457, 17
458, 458, 35
459, 459, 35
460, 460, 23
461, 461, 23
462, 462, 25
463, 463, 26
464, 464, 17
465, 465, 25
466, 466, 23
467, 467, 28
468, 468, 31
469, 469, 23
470, 470, 24
471, 471, 16
472, 472, 18
473, 473, 31
474, 474, 15
475, 475, 20
476, 476, 27
477, 477, 23
478, 478, 26
479, 479, 23
480, 480, 17
481, 481, 17
482, 482, 27
483, 483, 22
484, 484, 21
485, 485, 18
486, 486, 20
487, 487, 24
488, 488, 27
489, 489, 27
490, 490, 21
491, 491, 25
492, 492, 20
493, 493, 11
494, 494, 19
495, 495, 31
496, 496, 26
497, 497, 15
498, 498, 26
499, 499, 32
500, 500, 15
501, 501, 24
502, 502, 16
503, 503, 21
504, 504, 21
505, 505, 26
506, 506, 22
507, 507, 14
508, 508, 20
509, 509, 13
510, 510, 15
511, 511, 18
512, 512, 14
513, 513, 17
514, 514, 16
515, 515, 21
516, 516, 22
517, 517, 13
518, 518, 16
519, 519, 18
520, 520, 13
521, 521, 15
522, 522, 17
523, 523, 27
524, 524, 17
525, 525, 23
526, 526, 17
527, 527, 17
528, 528, 9
529, 529, 21
530, 530, 17
531, 531, 22
532, 532, 28
533, 533, 15
534, 534, 23
535, 535, 17
536, 536, 17
537, 537, 21
538, 538, 16
539, 539, 22
540, 540, 12
541, 541, 12
542, 542, 22
543, 543, 18
544, 544, 20
545, 545, 26
546, 546, 25
547, 547, 18
548, 548, 19
549, 549, 16
550, 550, 18
551, 551, 21
552, 552, 15
553, 553, 19
554, 554, 20
555, 555, 22
556, 556, 18
557, 557, 12
558, 558, 18
559, 559, 15
560, 560, 16
561, 561, 18
562, 562, 18
563, 563, 17
564, 564, 16
565, 565, 7
566, 566, 15
567, 567, 13
568, 568, 20
569, 569, 14
570, 570, 12
571, 571, 15
572, 572, 9
573, 573, 15
574, 574, 12
575, 575, 15
576, 576, 10
577, 577, 15
578, 578, 14
579, 579, 17
580, 580, 9
581, 581, 14
582, 582, 13
583, 583, 8
584, 584, 7
585, 585, 8
586, 586, 12
587, 587, 15
588, 588, 10
589, 589, 17
590, 590, 15
591, 591, 9
592, 592, 15
593, 593, 16
594, 594, 11
595, 595, 23
596, 596, 7
597, 597, 9
598, 598, 12
599, 599, 9
600, 600, 19
601, 601, 7
602, 602, 10
603, 603, 14
604, 604, 17
605, 605, 8
606, 606, 15
607, 607, 7
608, 608, 9
609, 609, 14
610, 610, 11
611, 611, 15
612, 612, 12
613, 613, 18
614, 614, 6
615, 615, 11
616, 616, 15
617, 617, 15
618, 618, 12
619, 619, 15
620, 620, 11
621, 621, 14
622, 622, 17
623, 623, 12
624, 624, 7
625, 625, 7
626, 626, 10
627, 627, 11
628, 628, 13
629, 629, 7
630, 630, 17
631, 631, 13
632, 632, 19
633, 633, 7
634, 634, 12
635, 635, 18
636, 636, 8
637, 637, 11
638, 638, 8
639, 639, 17
640, 640, 14
641, 641, 15
642, 642, 9
643, 643, 7
644, 644, 19
645, 645, 14
646, 646, 12
647, 647, 18
648, 648, 21
649, 649, 14
650, 650, 7
651, 651, 13
652, 652, 10
653, 653, 15
654, 654, 12
655, 655, 9
656, 656, 7
657, 657, 11
658, 658, 17
659, 659, 11
660, 660, 14
661, 661, 10
662, 662, 11
663, 663, 11
664, 664, 16
665, 665, 18
666, 666, 11
667, 667, 14
668, 668, 9
669, 669, 9
670, 670, 7
671, 671, 10
672, 672, 12
673, 673, 11
674, 674, 9
675, 675, 14
676, 676, 4
677, 677, 10
678, 678, 12
679, 679, 3
680, 680, 4
681, 681, 9
682, 682, 17
683, 683, 13
684, 684, 11
685, 685, 12
686, 686, 7
687, 687, 10
688, 688, 4
689, 689, 12
690, 690, 7
691, 691, 9
692, 692, 11
693, 693, 12
694, 694, 7
695, 695, 9
696, 696, 3
697, 697, 9
698, 698, 7
699, 699, 10
700, 700, 12
701, 701, 6
702, 702, 13
703, 703, 7
704, 704, 11
705, 705, 9
706, 706, 10
707, 707, 8
708, 708, 15
709, 709, 5
710, 710, 6
711, 711, 9
712, 712, 6
713, 713, 8
714, 714, 7
715, 715, 11
716, 716, 6
717, 717, 5
718, 718, 7
719, 719, 5
720, 720, 6
721, 721, 5
722, 722, 10
723, 723, 11
724, 724, 10
725, 725, 8
726, 726, 7
727, 727, 16
728, 728, 5
729, 729, 6
730, 730, 3
731, 731, 7
732, 732, 8
733, 733, 9
734, 734, 8
735, 735, 3
736, 736, 11
737, 737, 4
738, 738, 7
739, 739, 12
740, 740, 7
741, 741, 11
742, 742, 8
743, 743, 12
744, 744, 11
745, 745, 6
746, 746, 8
747, 747, 4
748, 748, 14
749, 749, 7
750, 750, 5
751, 751, 6
752, 752, 12
753, 753, 11
754, 754, 6
755, 755, 13
756, 756, 4
757, 757, 3
758, 758, 10
759, 759, 6
760, 760, 9
761, 761, 9
762, 762, 7
763, 763, 6
764, 764, 7
765, 765, 7
766, 766, 12
767, 767, 8
768, 768, 7
769, 769, 9
770, 770, 5
771, 771, 9
772, 772, 6
773, 773, 5
774, 774, 7
775, 775, 8
776, 776, 8
777, 777, 9
778, 778, 13
779, 779, 5
780, 780, 4
781, 781, 10
782, 782, 8
783, 783, 8
784, 784, 10
785, 785, 5
786, 786, 8
787, 787, 7
788, 788, 12
789, 789, 5
790, 790, 6
791, 791, 14
792, 792, 8
793, 793, 6
794, 794, 9
795, 795, 9
796, 796, 8
797, 797, 9
798, 798, 5
799, 799, 6
800, 800, 6
801, 801, 5
802, 802, 10
803, 803, 6
804, 804, 8
805, 805, 12
806, 806, 11
807, 807, 10
808, 808, 3
809, 809, 6
810, 810, 3
811, 811, 2
812, 812, 7
813, 813, 5
814, 814, 4
815, 815, 5
816, 816, 5
817, 817, 5
818, 818, 6
819, 819, 7
820, 820, 8
821, 821, 10
822, 822, 4
823, 823, 5
824, 824, 5
825, 825, 10
826, 826, 8
827, 827, 8
828, 828, 8
829, 829, 4
830, 830, 7
831, 831, 7
832, 832, 4
833, 833, 9
834, 834, 6
835, 835, 9
836, 836, 7
837, 837, 6
838, 838, 2
839, 839, 10
840, 840, 10
841, 841, 7
842, 842, 4
843, 843, 10
844, 844, 7
845, 845, 5
846, 846, 6
847, 847, 4
848, 848, 4
849, 849, 8
