Start Time, Tue Oct 16 11:29:03 GMT+0100 2018
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 7200
Real Time (s), 7200.639404
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 1, 0
2, 2, 0
3, 3, 0
4, 4, 0
5, 5, 1357
6, 6, 859
7, 7, 94
8, 8, 79
9, 9, 82
10, 10, 69
11, 11, 70
12, 12, 81
13, 13, 63
14, 14, 66
15, 15, 65
16, 16, 80
17, 17, 73
18, 18, 70
19, 19, 73
20, 20, 74
21, 21, 73
22, 22, 83
23, 23, 70
24, 24, 77
25, 25, 76
26, 26, 82
27, 27, 67
28, 28, 52
29, 29, 62
30, 30, 76
31, 31, 73
32, 32, 94
33, 33, 76
34, 34, 65
35, 35, 83
36, 36, 76
37, 37, 65
38, 38, 87
39, 39, 76
40, 40, 64
41, 41, 68
42, 42, 76
43, 43, 82
44, 44, 81
45, 45, 72
46, 46, 94
47, 47, 85
48, 48, 73
49, 49, 97
50, 50, 101
51, 51, 101
52, 52, 83
53, 53, 107
54, 54, 122
55, 55, 133
56, 56, 139
57, 57, 136
58, 58, 119
59, 59, 123
60, 60, 133
61, 61, 114
62, 62, 96
63, 63, 74
64, 64, 106
65, 65, 89
66, 66, 93
67, 67, 100
68, 68, 102
69, 69, 130
70, 70, 120
71, 71, 109
72, 72, 116
73, 73, 106
74, 74, 112
75, 75, 100
76, 76, 103
77, 77, 123
78, 78, 137
79, 79, 134
80, 80, 164
81, 81, 171
82, 82, 168
83, 83, 231
84, 84, 249
85, 85, 278
86, 86, 278
87, 87, 336
88, 88, 341
89, 89, 391
90, 90, 382
91, 91, 347
92, 92, 340
93, 93, 326
94, 94, 271
95, 95, 268
96, 96, 281
97, 97, 230
98, 98, 212
99, 99, 243
100, 100, 230
101, 101, 212
102, 102, 229
103, 103, 210
104, 104, 197
105, 105, 183
106, 106, 162
107, 107, 169
108, 108, 140
109, 109, 139
110, 110, 151
111, 111, 126
112, 112, 138
113, 113, 134
114, 114, 128
115, 115, 146
116, 116, 128
117, 117, 116
118, 118, 109
119, 119, 125
120, 120, 129
121, 121, 117
122, 122, 130
123, 123, 140
124, 124, 115
125, 125, 133
126, 126, 121
127, 127, 125
128, 128, 124
129, 129, 133
130, 130, 129
131, 131, 125
132, 132, 145
133, 133, 122
134, 134, 123
135, 135, 131
136, 136, 118
137, 137, 135
138, 138, 134
139, 139, 151
140, 140, 114
141, 141, 150
142, 142, 157
143, 143, 117
144, 144, 129
145, 145, 119
146, 146, 132
147, 147, 125
148, 148, 107
149, 149, 139
150, 150, 131
151, 151, 119
152, 152, 126
153, 153, 128
154, 154, 133
155, 155, 140
156, 156, 123
157, 157, 122
158, 158, 126
159, 159, 120
160, 160, 121
161, 161, 138
162, 162, 125
163, 163, 139
164, 164, 120
165, 165, 106
166, 166, 115
167, 167, 131
168, 168, 143
169, 169, 125
170, 170, 116
171, 171, 127
172, 172, 139
173, 173, 116
174, 174, 119
175, 175, 111
176, 176, 125
177, 177, 127
178, 178, 114
179, 179, 100
180, 180, 145
181, 181, 138
182, 182, 110
183, 183, 107
184, 184, 94
185, 185, 118
186, 186, 114
187, 187, 121
188, 188, 101
189, 189, 106
190, 190, 106
191, 191, 129
192, 192, 122
193, 193, 115
194, 194, 139
195, 195, 116
196, 196, 128
197, 197, 115
198, 198, 107
199, 199, 127
200, 200, 107
201, 201, 110
202, 202, 137
203, 203, 111
204, 204, 125
205, 205, 113
206, 206, 110
207, 207, 115
208, 208, 117
209, 209, 111
210, 210, 120
211, 211, 106
212, 212, 105
213, 213, 103
214, 214, 114
215, 215, 110
216, 216, 115
217, 217, 105
218, 218, 101
219, 219, 100
220, 220, 78
221, 221, 94
222, 222, 95
223, 223, 93
224, 224, 85
225, 225, 108
226, 226, 113
227, 227, 131
228, 228, 80
229, 229, 117
230, 230, 134
231, 231, 110
232, 232, 99
233, 233, 113
234, 234, 113
235, 235, 90
236, 236, 104
237, 237, 127
238, 238, 95
239, 239, 100
240, 240, 112
241, 241, 109
242, 242, 98
243, 243, 109
244, 244, 109
245, 245, 91
246, 246, 113
247, 247, 111
248, 248, 113
249, 249, 103
250, 250, 114
251, 251, 111
252, 252, 105
253, 253, 106
254, 254, 115
255, 255, 98
256, 256, 89
257, 257, 90
258, 258, 105
259, 259, 129
260, 260, 98
261, 261, 89
262, 262, 104
263, 263, 112
264, 264, 108
265, 265, 107
266, 266, 97
267, 267, 85
268, 268, 109
269, 269, 98
270, 270, 104
271, 271, 103
272, 272, 86
273, 273, 113
274, 274, 72
275, 275, 114
276, 276, 97
277, 277, 99
278, 278, 90
279, 279, 83
280, 280, 105
281, 281, 89
282, 282, 102
283, 283, 86
284, 284, 106
285, 285, 99
286, 286, 91
287, 287, 98
288, 288, 91
289, 289, 89
290, 290, 96
291, 291, 88
292, 292, 98
293, 293, 84
294, 294, 101
295, 295, 92
296, 296, 89
297, 297, 75
298, 298, 86
299, 299, 97
300, 300, 96
301, 301, 89
302, 302, 80
303, 303, 85
304, 304, 97
305, 305, 104
306, 306, 77
307, 307, 96
308, 308, 84
309, 309, 99
310, 310, 83
311, 311, 101
312, 312, 89
313, 313, 70
314, 314, 85
315, 315, 87
316, 316, 82
317, 317, 72
318, 318, 77
319, 319, 85
320, 320, 85
321, 321, 89
322, 322, 104
323, 323, 85
324, 324, 88
325, 325, 79
326, 326, 85
327, 327, 76
328, 328, 104
329, 329, 85
330, 330, 71
331, 331, 83
332, 332, 79
333, 333, 78
334, 334, 80
335, 335, 89
336, 336, 86
337, 337, 86
338, 338, 69
339, 339, 59
340, 340, 77
341, 341, 89
342, 342, 94
343, 343, 73
344, 344, 88
345, 345, 85
346, 346, 91
347, 347, 63
348, 348, 80
349, 349, 72
350, 350, 79
351, 351, 72
352, 352, 75
353, 353, 62
354, 354, 84
355, 355, 77
356, 356, 82
357, 357, 78
358, 358, 61
359, 359, 71
360, 360, 80
361, 361, 86
362, 362, 65
363, 363, 75
364, 364, 73
365, 365, 76
366, 366, 72
367, 367, 78
368, 368, 83
369, 369, 71
370, 370, 70
371, 371, 86
372, 372, 74
373, 373, 69
374, 374, 74
375, 375, 85
376, 376, 73
377, 377, 72
378, 378, 66
379, 379, 67
380, 380, 71
381, 381, 78
382, 382, 71
383, 383, 90
384, 384, 79
385, 385, 78
386, 386, 78
387, 387, 78
388, 388, 83
389, 389, 70
390, 390, 59
391, 391, 68
392, 392, 77
393, 393, 71
394, 394, 74
395, 395, 67
396, 396, 63
397, 397, 73
398, 398, 66
399, 399, 65
400, 400, 83
401, 401, 74
402, 402, 63
403, 403, 66
404, 404, 65
405, 405, 63
406, 406, 66
407, 407, 62
408, 408, 62
409, 409, 66
410, 410, 60
411, 411, 62
412, 412, 64
413, 413, 55
414, 414, 75
415, 415, 69
416, 416, 72
417, 417, 69
418, 418, 78
419, 419, 62
420, 420, 62
421, 421, 67
422, 422, 71
423, 423, 56
