348,845
349,851
350,821
351,822
352,871
353,861
354,840
355,910
356,924
357,1037
358,1029
359,1212
360,1261
361,1402
362,1424
363,1595
364,1844
365,1881
366,2021
367,2313
368,2410
369,2466
370,2726
371,2774
372,2944
373,3014
374,3263
375,3313
376,3656
377,3700
378,3766
379,3845
380,3883
381,4035
382,4020
383,4005
384,4061
385,4060
386,4074
387,4060
388,3890
389,3863
390,3790
391,3679
392,3593
393,3363
394,3357
395,3131
396,2926
397,2757
398,2655
399,2549
400,2372
401,2299
402,2036
403,1878
404,1755
405,1626
406,1547
407,1425
408,1298
409,1267
410,1126
411,1044
412,966
413,880
414,834
415,716
416,776
417,716
418,672
419,572
420,579
421,501
422,502
423,474
424,456
425,400
426,424
427,368
428,331
429,293
430,293
431,258
432,249
433,207
434,187
435,169
436,149
437,134
438,117
439,111
440,92
441,97
442,83
443,70
444,72
445,62
446,61
447,54
448,40
449,39
450,49
451,32
452,30
453,38
454,41
455,25
456,34
457,17
458,35
459,35
460,23
461,23
462,25
463,26
464,17
465,25
466,23
467,28
468,31
469,23
470,24
471,16
472,18
473,31
474,15
475,20
476,27
477,23
478,26
479,23
480,17
481,17
482,27
483,22
