475,44
476,48
477,48
478,57
479,65
480,47
481,64
482,53
483,71
484,73
485,54
486,58
487,64
488,68
489,71
490,65
491,64
492,55
493,67
494,67
495,73
496,64
497,77
498,84
499,70
500,72
501,82
502,96
503,81
504,88
505,91
506,100
507,139
508,100
509,142
510,131
511,148
512,147
513,158
514,154
515,193
516,227
517,189
518,231
519,220
520,256
521,253
522,255
523,262
524,289
525,330
526,352
527,381
528,375
529,363
530,404
531,408
532,409
533,414
534,443
535,434
536,470
537,467
538,515
539,491
540,492
541,519
542,492
543,485
544,557
545,540
546,508
547,516
548,495
549,478
550,505
551,493
552,452
553,471
554,424
555,451
556,423
557,412
558,411
559,405
560,373
561,338
562,343
563,332
564,298
565,304
566,264
567,222
568,256
569,206
570,187
571,196
572,161
573,133
574,137
575,124
576,127
577,97
578,97
579,90
580,79
581,88
582,67
583,60
584,54
585,56
586,43
587,45
588,44
589,53
590,35
591,45
592,31
593,30
594,40
595,32
596,36
597,38
598,31
599,25
600,30
601,18
602,32
603,30
604,32
605,33
606,24
607,23
608,22
609,24
610,31
611,18
